job_id,pair_id,side,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
01-bright-sample-000-seed-101,01,bright,0,101,3.0,25,4.5,a bright cheerful piano melody,/outputs/bright-dark-v1/01/bright/01-bright-sample-000-seed-101.wav,44100,19.951,declare-lab/TangoFlux,ok,
01-dark-sample-000-seed-101,01,dark,0,101,3.0,25,4.5,a dark somber piano melody,/outputs/bright-dark-v1/01/dark/01-dark-sample-000-seed-101.wav,44100,19.374,declare-lab/TangoFlux,ok,
02-bright-sample-000-seed-102,02,bright,0,102,3.0,25,4.5,bright shimmering bells ringing,/outputs/bright-dark-v1/02/bright/02-bright-sample-000-seed-102.wav,44100,53.162,declare-lab/TangoFlux,ok,
02-dark-sample-000-seed-102,02,dark,0,102,3.0,25,4.5,dark muffled bells ringing,/outputs/bright-dark-v1/02/dark/02-dark-sample-000-seed-102.wav,44100,53.013,declare-lab/TangoFlux,ok,
03-bright-sample-000-seed-103,03,bright,0,103,3.0,25,4.5,a bright sparkling acoustic guitar fingerpicking,/outputs/bright-dark-v1/03/bright/03-bright-sample-000-seed-103.wav,44100,53.351,declare-lab/TangoFlux,ok,
03-dark-sample-000-seed-103,03,dark,0,103,3.0,25,4.5,a dark brooding acoustic guitar fingerpicking,/outputs/bright-dark-v1/03/dark/03-dark-sample-000-seed-103.wav,44100,19.525,declare-lab/TangoFlux,ok,
04-bright-sample-000-seed-104,04,bright,0,104,3.0,25,4.5,a bright airy flute solo,/outputs/bright-dark-v1/04/bright/04-bright-sample-000-seed-104.wav,44100,19.926,declare-lab/TangoFlux,ok,
04-dark-sample-000-seed-104,04,dark,0,104,3.0,25,4.5,a dark heavy flute solo,/outputs/bright-dark-v1/04/dark/04-dark-sample-000-seed-104.wav,44100,20.66,declare-lab/TangoFlux,ok,
05-bright-sample-000-seed-105,05,bright,0,105,3.0,25,4.5,a bright crisp violin passage,/outputs/bright-dark-v1/05/bright/05-bright-sample-000-seed-105.wav,44100,19.583,declare-lab/TangoFlux,ok,
05-dark-sample-000-seed-105,05,dark,0,105,3.0,25,4.5,a dark muted violin passage,/outputs/bright-dark-v1/05/dark/05-dark-sample-000-seed-105.wav,44100,20.572,declare-lab/TangoFlux,ok,
06-bright-sample-000-seed-106,06,bright,0,106,3.0,25,4.5,a bright uplifting string quartet,/outputs/bright-dark-v1/06/bright/06-bright-sample-000-seed-106.wav,44100,1.49,declare-lab/TangoFlux,ok,
06-dark-sample-000-seed-106,06,dark,0,106,3.0,25,4.5,a dark mournful string quartet,/outputs/bright-dark-v1/06/dark/06-dark-sample-000-seed-106.wav,44100,1.545,declare-lab/TangoFlux,ok,
